전철역코드,전철역명,호선,외부코드
244,용답,02호선,211-1
245,신답,02호선,211-2
250,용두,02호선,211-3
336,학여울,03호선,346
428,삼각지,04호선,428
429,신용산,04호선,429
3753,까치울,07호선,751
3754,부천종합운동장,07호선,752
3755,춘의,07호선,753
3756,신중동,07호선,754
3757,부천시청,07호선,755
3758,상동,07호선,756
3759,삼산체육관,07호선,757
3760,굴포천,07호선,758
3761,부평구청,07호선,759
3762,산곡,07호선,760
412,창동,04호선,412
417,길음,04호선,417
1407,온양온천,01호선,P176
1450,선바위,04호선,435
1452,대공원,04호선,437
1455,인덕원,04호선,440
1456,평촌,04호선,441
3763,석남,07호선,761
310,구파발,03호선,320
319,종로3가,03호선,329
339,수서,03호선,349
415,미아,04호선,415
425,회현,04호선,425
1408,신창,01호선,P177
1458,금정,04호선,443
248,양천구청,02호선,234-2
320,을지로3가,03호선,330
327,신사,03호선,337
1005,대방,01호선,137
1703,금천구청,01호선,P144
1720,진위,01호선,P161
216,잠실,02호선,216
249,신정네거리,02호선,234-3
311,연신내,03호선,321
315,무악재,03호선,325
323,약수,03호선,333
328,잠원,03호선,338
337,대청,03호선,347
421,동대문,04호선,421
233,대림,02호선,233
237,당산,02호선,237
405,진접,04호선,405
430,이촌,04호선,430
1015,회기,01호선,123
1032,신길,01호선,138
1402,쌍용,01호선,P171
1901,방학,01호선,115
2620,월드컵경기장,06호선,619
2640,안암,06호선,639
2724,사가정,07호선,722
2816,석촌,08호선,815
2817,송파,08호선,816
338,일원,03호선,348
416,미아사거리,04호선,416
427,숙대입구,04호선,427
1804,부천,01호선,148
1953,대곡,03호선,314
1954,백석,03호선,313
2530,공덕,05호선,529
2535,종로3가,05호선,534
2557,방이,05호선,P551
2558,오금,05호선,P552
2815,잠실,08호선,814
316,독립문,03호선,326
329,고속터미널,03호선,339
334,도곡,03호선,344
341,경찰병원,03호선,351
1404,탕정,01호선,P173
1812,인천,01호선,161
217,잠실새내,02호선,217
317,경복궁,03호선,327
324,금호,03호선,334
330,교대,03호선,340
332,양재,03호선,342
335,대치,03호선,345
1021,녹천,01호선,117
1814,소사,01호선,147
1816,간석,01호선,155
218,종합운동장,02호선,218
325,옥수,03호선,335
331,남부터미널,03호선,341
1803,역곡,01호선,146
1805,송내,01호선,150
1813,구일,01호선,142
1817,도원,01호선,159
1821,온수,01호선,145
219,삼성,02호선,219
318,안국,03호선,328
1725,성환,01호선,P166
1726,직산,01호선,P167
1728,천안,01호선,P169
1751,산본,04호선,444
1752,대야미,04호선,446
1753,반월,04호선,447
1754,상록수,04호선,448
1755,한대앞,04호선,449
1756,중앙,04호선,450
1757,고잔,04호선,451
1763,수리산,04호선,445
406,오남,04호선,406
1712,화서,01호선,P154
1713,수원,01호선,P155
1714,독산,01호선,P143
1715,세류,01호선,P156
1718,오산대,01호선,P159
1721,송탄,01호선,P162
1722,서정리,01호선,P163
1724,평택,01호선,P165
314,홍제,03호선,324
321,충무로,03호선,331
1401,봉명,01호선,P170
1823,도화,01호선,157
243,충정로,02호선,243
309,지축,03호선,319
322,동대입구,03호선,332
326,압구정,03호선,336
333,매봉,03호선,343
414,수유,04호선,414
426,서울역,04호선,426
432,총신대입구,04호선,432
246,신설동,02호선,211-4
431,동작,04호선,431
433,사당,04호선,433
434,남태령,04호선,434
1004,노량진,01호선,136
1006,영등포,01호선,139
1016,외대앞,01호선,122
1017,신이문,01호선,121
1018,석계,01호선,120
1019,광운대,01호선,119
1020,월계,01호선,118
1022,창동,01호선,116
238,합정,02호선,238
239,홍대입구,02호선,239
240,신촌,02호선,240
241,이대,02호선,241
242,아현,02호선,242
247,도림천,02호선,234-1
312,불광,03호선,322
313,녹번,03호선,323
342,오금,03호선,352
408,별내별가람,04호선,408
409,당고개,04호선,409
410,상계,04호선,410
418,성신여대입구,04호선,418
419,한성대입구,04호선,419
422,동대문역사문화공원,04호선,422
220,선릉,02호선,220
221,역삼,02호선,221
222,강남,02호선,222
223,교대,02호선,223
224,서초,02호선,224
225,방배,02호선,225
226,사당,02호선,226
227,낙성대,02호선,227
228,서울대입구,02호선,228
229,봉천,02호선,229
230,신림,02호선,230
231,신대방,02호선,231
